,text,place,uri,collector,area,lat,lon,english
94031,Της Κυριακής το όνειρο ως το γιόμα στρέει,Ήπειρος,http://hdl.handle.net/20.500.11853/204756,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671,Sunday's dream lasts till Monday
106168,Φκειάνομε καλυβάκια,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/204323,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,We're making little baskets
74249,Απόστολος παρήγορος χασάπικης ειρήνης,Ήπειρος,http://hdl.handle.net/20.500.11853/181673,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Apostle of soothing butcher's peace
4616,Τούρθε σαν της κουκουβάγιας το πουλί,Ήπειρος,http://hdl.handle.net/20.500.11853/271841,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671,It came like the cuckoo's bird.
81624,Ξύλα κούτσουρα δαυλιά καϋμένα,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/289177,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671,Burnt wood won't make good charcoal
74380,Δεν αξίζει ο κόπος,Ήπειρος,http://hdl.handle.net/20.500.11853/213007,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,It's not worth the trouble
89912,Το αβκόν αβκόν τσακκίζει,"Ήπειρος, Τσαμαντάς",http://hdl.handle.net/20.500.11853/195850,"Νίτσος, Νικόλαος",Ήπειρος,37.9982534,23.7378671,The fist crushes the fist.
105985,Ο Χριστός πρώτα ευλόγησε τα γένεια του κ' ύστερα τον άλλον κόσμον,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/168476,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Christ blessed his beard first and then the rest of the world.
8704,Το γουρουνάσκ' κρασάσκ' δε γένεται,Ήπειρος,http://hdl.handle.net/20.500.11853/167081,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,A pig will never become a deer
8386,Κάλλια Καλογιάνν' παρά Κακογιάνν',Ήπειρος,http://hdl.handle.net/20.500.11853/203519,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,Better a good John than a bad John.
105946,Να τον φυσήης πέφτει,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256604,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Let him fall into the hands of the authorities.
74132,Αλλού το όνειρο κι αλλού το θάμμα,Ήπειρος,http://hdl.handle.net/20.500.11853/152921,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,One thing is said and another is done.
92698,Όλα τά 'χ΄ η Φατιμέ ο φερετζές τής λείπει,"Ήπειρος, Κόνιτσα",http://hdl.handle.net/20.500.11853/276988,"Οικονομίδης, Δημήτριος Β.",Ήπειρος,37.9982534,23.7378671,"All she has is Fatima, the veil is missing"
7722,"Τι να σ΄ θυμθώ, κρουμδάκι μ΄ που κάθι χαψιά κί δάκρυ",Ήπειρος,http://hdl.handle.net/20.500.11853/168975,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671,"What can I reproach you for, little crumb that you are, and yet you've eaten my bread and drunk my tear."
92693,Όλα τά 'χ' η Τζίκα ο φερετζές τής λείπει,"Ήπειρος, Κόνιτσα",http://hdl.handle.net/20.500.11853/276986,"Οικονομίδης, Δημήτριος Β.",Ήπειρος,37.9982534,23.7378671,"Everything is fine, but something is missing."
105013,"Σ' αγαπώ κυρά μ΄που κλάνεις, αλλά συ το παρακάνεις","Ήπειρος, Κόνιτσα",http://hdl.handle.net/20.500.11853/248521,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671,"I love you, lady, but you are overdoing it."
93845,Το μ'σιακό το βόδ' το τρώει ο λύκος,"Ήπειρος, Ζαγόρι",http://hdl.handle.net/20.500.11853/282686,"Παπάς, Δ. Α.",Ήπειρος,37.9982534,23.7378671,The sheep is devoured by the wolf
7627,"Κοντή γυναίκα πέρδικα, ψηλή χαραμουντάνα, ψηλός άντρας απόστολους, κοντός πομπή και γιάννα",Ήπειρος,http://hdl.handle.net/20.500.11853/204651,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671,"A short woman is a partridge, a tall woman a courtesan, a tall man is apostles, a short man is pomp and circumstance"
87128,Όσο κι αν ξεπέση το βουβάλι πάντα το τομάρι του αξίζ ένα βόϊδι,Ήπειρος,http://hdl.handle.net/20.500.11853/289086,"Νεστορίδης, Κ.",Ήπειρος,37.9982534,23.7378671,"No matter how much the buffalo may swell, its skin is always worth one ox."
74686,Θηβαίοι κι Αθηναίοι και κακοί Μυτιληναίοι άλλα λένε το βράδι κι άλλα κάνουν το πρωΐ,Ήπειρος,http://hdl.handle.net/20.500.11853/152907,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,"Thebans and Athenians and wicked Mytilenians, they say one thing in the evening and do another in the morning."
8181,Αι γυναίκες μακρυά μαλλιά κ' ολίγη γνώση,Ήπειρος,http://hdl.handle.net/20.500.11853/203502,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,Women have long hair and little knowledge
7674,Όσα ξέρ' ου νκουκύρς δεν τα ξέρ' ου κόσμος όλους,Ήπειρος,http://hdl.handle.net/20.500.11853/286128,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671,"What the owl knows, the whole world does not know."
106113,Το πάνουν ζιτνά,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/204322,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,They make it out of nothing.
118699,Εις μόνον αναμάρτητος,Ήπειρος,http://hdl.handle.net/20.500.11853/159331,"Χρηστοβασίλης, Χ.",Ήπειρος,37.9982534,23.7378671,One alone is without fault
74861,Όποιος έχει σειέται κι όπου δεν έχει ξυέται,Ήπειρος,http://hdl.handle.net/20.500.11853/181492,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Whoever has something is full of himself and whoever doesn’t have anything is also full of himself
104975,Πέντε δέκα στη σακκούλα καλώς σ΄ ηύρα γυναικούλα,"Ήπειρος, Κόνιτσα, Βούρμπιανη",http://hdl.handle.net/20.500.11853/178282,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671,"You're a lucky find, little woman, with five or ten in the bag"
106061,Στέκεται στ΄αγκάθι,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/157822,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,He is sitting on thorns.
44958,Εχ' κώλου,"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/273720,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671,"He's got an ass 
   Alternate translation: He's got guts"
106161,Τρώει τ' πουλιού το γάλα,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256592,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,The bird drinks its milk.
106163,Τώρα είν το νερό ζεστό και το ποτάμ' σιγαλό,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256608,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Now the water is warm and the river silent
7708,Σι ξένου κρασί μη χύνς νιρό,Ήπειρος,http://hdl.handle.net/20.500.11853/204655,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671,Don’t spill water on a foreigner’s wine
64379,Περπατάει άμποτε και κάμποτε,"Ήπειρος, Λοζέτσι",http://hdl.handle.net/20.500.11853/256785,"Λιουδάκη, Μαρία",Ήπειρος,37.9982534,23.7378671,He walks with both feet in the air
104764,"Λαγαρίζω (ρ) καθαρίζω, θα καθαρίσ' η αίρ' από το σιτάρι","Ήπειρος, Κόνιτσα",http://hdl.handle.net/20.500.11853/198253,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671,"I'm winnowing (v) I'm cleaning, the wind will clean the wheat."
105674,Απέθανα γελώντας,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/168422,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,I died laughing
111904,Για την τριχιά πά' η τζιούμα,Ήπειρος,http://hdl.handle.net/20.500.11853/204564,"Σωφρόνιος, ηγούμενος Μονής Λιγγιστάδων",Ήπειρος,37.9982534,23.7378671,A hair's breadth away
74106,"Αγκομαχάει σαν το άτι, ή σαν σκύλος",Ήπειρος,http://hdl.handle.net/20.500.11853/153111,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,"Struggles like the devil, or like a dog"
81680,Σιγουριά 'ς το Καρπενήσι 'ς τη λάσπη πολεμούν,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/256568,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671,"They are fighting in the mud in Karpenisi, (meaning)  certainty is far away"
75064,Τον αράπη θα λευκάνης κόπο και σαπούνι χάνεις,Ήπειρος,http://hdl.handle.net/20.500.11853/153003,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,"You can't whiten an Ethiopian, you waste soap and effort"
74415,Δυο φοραίς οι γέροντες γένονται παιδιά,Ήπειρος,http://hdl.handle.net/20.500.11853/181749,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Old men become children again
4412,Έναν τον έπαιρνε το ποτάμι κι' άλλος του λεγε Στάσου να σε γαμήσω,Ήπειρος,http://hdl.handle.net/20.500.11853/256159,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671,One was being swept away by the river and another was telling him Wait so I can fuck you.
74073,Άντρας μου ςτα ρούμπαλα κ' εγώ 'ς τα πανηγύρια,Ήπειρος,http://hdl.handle.net/20.500.11853/256920,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,My husband is in the rubbish and I am in the festivals.
45156,Μια κούτ' κι άλλ' διάβα 'δω,"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/170466,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671,A little bird told me
74938,Πίσω την έχει την ουρά το δροσερό τ' απίδι,Ήπειρος,http://hdl.handle.net/20.500.11853/212971,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Even the coolest snake has its tail behind it
4425,"Εκεί όπου δεν έβαλες, μην απλώνης",Ήπειρος,http://hdl.handle.net/20.500.11853/141282,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671,Don't spread your cloth where you haven't put your stone.
4420,Εγεννήθηκε σε ξίσκεπο σπίτι,Ήπειρος,http://hdl.handle.net/20.500.11853/289266,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671,Born in a ruined house
104382,Τρείς μέρες το θάμα κι άλλες τρείς το παραθάμα,Ήπειρος,http://hdl.handle.net/20.500.11853/173383,"Ρέκας, Β. Δ.",Ήπειρος,37.9982534,23.7378671,"Three days wonder, and three days disgust"
89918,Το κάνω παίπαιλη,"Ήπειρος, Τσαμαντάς",http://hdl.handle.net/20.500.11853/247825,"Νίτσος, Νικόλαος",Ήπειρος,37.9982534,23.7378671,I do it for fun
119321,"Ανάβαλες το φίλο, πάρει και κομμάτι ξύλο",Ήπειρος,http://hdl.handle.net/20.500.11853/197808,"Ψάλτης, Σταμάτιος Β.",Ήπειρος,37.9982534,23.7378671,"You take the friend, you take the stick as well."
4598,Το στάρι απ' το μύλο θα διαβή,Ήπειρος,http://hdl.handle.net/20.500.11853/284039,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671,The grain will pass through the mill
74982,Τα αυτά της αυτής,Ήπειρος,http://hdl.handle.net/20.500.11853/153006,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,"Like mother, like daughter."
94044,Τούρθε σαν τ' μπούφιο του πλι,Ήπειρος,http://hdl.handle.net/20.500.11853/284017,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671,Came like a cat to the meal.
8632,Πρώτα θα ιδούμε το γείτονα κ' ύστερα τον ήλιο,Ήπειρος,http://hdl.handle.net/20.500.11853/167124,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,First we will see the neighbor and then the sun
102649,Ήλιος καμωμένος,Ήπειρος,http://hdl.handle.net/20.500.11853/172568,"Πολίτης, Νικ.",Ήπειρος,37.9982534,23.7378671,The sun is set
8705,Το γρόθο στο μαχαίρι,Ήπειρος,http://hdl.handle.net/20.500.11853/167140,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,The handle is in the knife.
45261,Όποιους έχ΄ γρόσια έχ΄ γλώσσα,"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/170351,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671,Whoever has money has a tongue
106117,Το πήρε σβάρνα,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256590,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,It went to waste
94072,Μας έκουψι μπουρανιές,Ήπειρος,http://hdl.handle.net/20.500.11853/206289,"Παπαγεωργίου, Σωτηρ. Π.",Ήπειρος,37.9982534,23.7378671,They sold us ice in winter
111923,Έχει δεύτερα μάτια,Ήπειρος,http://hdl.handle.net/20.500.11853/279764,"Σωφρόνιος, ηγούμενος Μονής Λιγγιστάδων",Ήπειρος,37.9982534,23.7378671,Has eyes in the back of their head
93990,Ο λύκος με μυρμήγκια δεν χορταίνει,Ήπειρος,http://hdl.handle.net/20.500.11853/281754,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671,A wolf is not satisfied with ants.
105895,Λέγ' άρα μπάρα,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/275331,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,"Say a word, take a word."
45498,Τ' ς αλουνίζ',"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/148571,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671,What's gotten into you?
45200,Ξένα τα δαμάλια θ'κά μας τα μ'σκάρια,"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/205442,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671,Foreign goods will be ours with our scarves.
64362,Πέθανε να σε πονώ και ζήσε για να σ' έχω,"Ήπειρος, Λοζέτσι",http://hdl.handle.net/20.500.11853/256791,"Λιουδάκη, Μαρία",Ήπειρος,37.9982534,23.7378671,He died to grieve you and lived to have you
1257,Έδουκι κί πήρι,Ήπειρος,http://hdl.handle.net/20.500.11853/186275,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671,Give and take
44913,Ένας κούκκους άγ' ξ' δέ φέρ',"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/170463,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671,A single grain of wheat can't fill the belly of a sparrow.
7618,Κάλλια θιούτκη ουργή πάρ' ανθρώπινη βουή,Ήπειρος,http://hdl.handle.net/20.500.11853/141791,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671,A pretty face is a silent work of art.
106114,Το παλιό το φόρεμα αψυχάει το καινούριο,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256636,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,The old dress is worn out by the new one
8644,Σαν το βόϊδι,Ήπειρος,http://hdl.handle.net/20.500.11853/141940,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,As the ox
81676,Σ του λόγγου κατοικίας και ξύλα αγοράζης,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/204235,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671,You buy firewood where you live.
104327,Μια βολά απ' τη βολά μου τσάκισαν τα πλευρά,Ήπειρος,http://hdl.handle.net/20.500.11853/157371,"Ρέκας, Β. Δ.",Ήπειρος,37.9982534,23.7378671,One shot from my shot shattered my ribs
118689,"Έφαγε ένα δόξα πατρί, που θά το θυμάται γιά πάντα",Ήπειρος,http://hdl.handle.net/20.500.11853/173022,"Χρηστοβασίλης, Χ.",Ήπειρος,37.9982534,23.7378671,"He swallowed a glory to the father, that he will remember forever."
74504,Έχει πίσσα κ' η παράδεισο,Ήπειρος,http://hdl.handle.net/20.500.11853/256839,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Even paradise has its pitch.
118763,"Όποιος κάθεται στο βεζιάχι, εκείνος ξέρει πως πάει ο καπνός του μαγαζιού","Ήπειρος, Κούρεντα",http://hdl.handle.net/20.500.11853/290025,"Χρηστοβασίλης, Χ.",Ήπειρος,37.9982534,23.7378671,He who sits on the bezahi knows how the smoke of the shop goes.
8690,Ταγώγι ξυπνά τον αγωγιάτη,Ήπειρος,http://hdl.handle.net/20.500.11853/141945,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,The thief awakens the watchman
74130,Αλλού ο παππάς κι αλλού τα ρούχα του,Ήπειρος,http://hdl.handle.net/20.500.11853/152931,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,The priest is one place and his clothes another
8627,Πούθε είσαι κλωναράκι; Απ' εκείνο το δεντράκι,Ήπειρος,http://hdl.handle.net/20.500.11853/203490,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,"Where are you, little ball of yarn? From that tree."
81570,Κάθε ξύλον και τον καπνόν,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/289175,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671,Every log has its smoke
81674,Ράχες ράχες η βροχή γένεια το κρασί,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/154148,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671,"The rain makes the beard, the wine makes the back."
63227,"Η γριά σαν εγαμήθη, έσφιχτομανταλώθη","Ήπειρος, Λοζέτσι",http://hdl.handle.net/20.500.11853/163802,"Λιουδάκη, Μαρία",Ήπειρος,37.9982534,23.7378671,An old woman got married and she became a young girl again
74514,Εβγήκαν ή σκασμέναις σαν ακρίδες,Ήπειρος,http://hdl.handle.net/20.500.11853/153142,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,They came out like scalded locusts
74609,Ερωτοίν την Φατιμέ πότε πιάνουν μπαϊράμι,Ήπειρος,http://hdl.handle.net/20.500.11853/256833,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Ask Fatima when the holidays begin
1450,Τα ήθελες κι τα ήθελα,"Ήπειρος, Ζαγόρι",http://hdl.handle.net/20.500.11853/228055,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671,You wanted them and I wanted them
7659,Όντας (όταν) γηράζ' συ λύκους μασκαράς τουν σικλιών γίνιτι,Ήπειρος,http://hdl.handle.net/20.500.11853/169001,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671,"When you are old, you play with wolves and become a jackal."
8724,Τον ακάλεστο τον βαν' στον πάτο,Ήπειρος,http://hdl.handle.net/20.500.11853/142020,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,The uninvited guest ends up on the floor
75114,Τρώει τα λόγια του,Ήπειρος,http://hdl.handle.net/20.500.11853/212988,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Eats his words
118746,Νίπτομαι τας χείρας,Ήπειρος,http://hdl.handle.net/20.500.11853/286472,"Χρηστοβασίλης, Χ.",Ήπειρος,37.9982534,23.7378671,I wash my hands of it.
4372,Αφορμή δεν είχαμε κι' ο Θεός μας την έστειλε,Ήπειρος,http://hdl.handle.net/20.500.11853/141291,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671,We didn't have a reason and God sent us one.
74521,Εγώ 'μαι κ' η γαιδάρα μου και τρεία κουβέλια,Ήπειρος,http://hdl.handle.net/20.500.11853/153148,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,I am my donkey and three more fools.
1172,Άνξι πορειά,"Ήπειρος, Ζαγόρι",http://hdl.handle.net/20.500.11853/244738,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671,It was worth the trouble
118721,Η σοφία νικάει σήμερα την αντρεία,Ήπειρος,http://hdl.handle.net/20.500.11853/159302,"Χρηστοβασίλης, Χ.",Ήπειρος,37.9982534,23.7378671,Wisdom today conquers bravery
44972,Η καλή μέρα φαίνιτ' απού του πρωΐ,"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/170241,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671,The good day appears from the morning
1505,Τρανάει ν άκρα τ,"Ήπειρος, Ζαγόρι",http://hdl.handle.net/20.500.11853/186355,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671,It's loud at the edges
