,text,place,uri,collector,area,lat,lon,adimakis
74643,"Η μοίρα που σε μοίρανε, θα σε μυρολογούσε",Ήπειρος,http://hdl.handle.net/20.500.11853/282913,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671," Η μοίρα που σού μοίρανε, θα σού μυθολογούσε"
81669,Πέντε γρόσια ΄ς το πουγγί,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/168360,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671, Πέντε γρόσια στο πορτοφόλι
105986,Όλα διορθώνονται μονάχα του σπανού τα γένια,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/168490,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671, Όλα διορθώνονται μόνο του σπανού τα γένια becomes Όλα διορθώνονται μόνο του σπανού τα γένια
75080,Τον καταφέρνω,Ήπειρος,http://hdl.handle.net/20.500.11853/212979,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671, Τον καταφέρνω becomes Τον καταφέρνω
4435,Η κόττα γαργανίζοντας τα μάτια της θα βγάλη,Ήπειρος,http://hdl.handle.net/20.500.11853/271834,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671, Η κότα γαργαλίζοντας τα μάτια της θα βγάλει
45119,Μ'κρος πιρδάρ - μιγάλους γουμάρ',"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/281862,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671, Μικρός πιρδάρ - μεγάλας γουμάρ'
94019,Σαν να τον λάβωσ' ο λύκος,Ήπειρος,http://hdl.handle.net/20.500.11853/204751,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671, Σαν να τον λάβω ο λύκος
8549,"Όποιος μ' θέλει το καλό, με κάν' και κλαίω, κι όποιος μ' θέλ' το κακό με κάν' και γελώ",Ήπειρος,http://hdl.handle.net/20.500.11853/203521,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671," Όποιος με θέλει το καλό, με κάνει και κλαίει, και όποιος με θέλει το κακό με κάνει και γελάει"
74963,Σαν εκκλησιά 'ς την ερημιά που δεν την λειτουργούνε έστε είν' αυτός οπ' αγαπά και δεν τον αγαπούνε,Ήπειρος,http://hdl.handle.net/20.500.11853/152985,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671," Σαν εκκλησία στην ερημιά που δεν τη λειτουργούν, έτσι είναι αυτός που αγαπά και δεν τον αγαπούν."
105833,Ή χήνα ή σκατίνα,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/168391,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671, Ή χήνα ή σκατίνα becomes Ή χήνα ή σκατίνα
74756,"Με παίρνει ξωπίσω, με κυνηγάει, με παρακολουθεί",Ήπειρος,http://hdl.handle.net/20.500.11853/290369,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671," Με πιάνει πίσω, με κυνηγάει, με παρακολουθεί"
104678,Ισιοζύγιαζε κι ακριβοπούλα,"Ήπειρος, Κόνιτσα, Βούρμπιανη",http://hdl.handle.net/20.500.11853/178257,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671, Ισιοζύγιαζε και ακριβοπούλα
1369,"Όσον ξιτξγκαξίς τα σκατά, τόσον περισσότερον βρουμούν","Ήπειρος, Ζαγόρι",http://hdl.handle.net/20.500.11853/228131,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671," Όσο ξεπλένει τα σκατά, τόσο περισσότερο βρουμούν"
8484,Ξένο βιο καλολογάριασ' το,Ήπειρος,http://hdl.handle.net/20.500.11853/203472,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671, Ξένο βιο καλογραφιάς το
111997,"Οι ζωντανοί με τους ζωντανούς, κ' οι πεθαμένοι με τους πεθαμένους",Ήπειρος,http://hdl.handle.net/20.500.11853/256064,"Σωφρόνιος, ηγούμενος Μονής Λιγγιστάδων",Ήπειρος,37.9982534,23.7378671," Οι ζωντανοί με τους ζωντανούς, και οι πεθαμένοι με τους πεθαμένους"
94031,Της Κυριακής το όνειρο ως το γιόμα στρέει,Ήπειρος,http://hdl.handle.net/20.500.11853/204756,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671, Της Κυριακής το όνειρό της ως το γιόμα της στρέει
106168,Φκειάνομε καλυβάκια,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/204323,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671, Φοράμε καλυβάκια
74249,Απόστολος παρήγορος χασάπικης ειρήνης,Ήπειρος,http://hdl.handle.net/20.500.11853/181673,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,
4616,Τούρθε σαν της κουκουβάγιας το πουλί,Ήπειρος,http://hdl.handle.net/20.500.11853/271841,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671, Του έρθε σαν της κουκουβάγιας το πουλί
81624,Ξύλα κούτσουρα δαυλιά καϋμένα,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/289177,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671, Ξύλα κουτσουρά δαυλιά καμένα
74380,Δεν αξίζει ο κόπος,Ήπειρος,http://hdl.handle.net/20.500.11853/213007,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671, Δεν αξίζει η κόπο
89912,Το αβκόν αβκόν τσακκίζει,"Ήπειρος, Τσαμαντάς",http://hdl.handle.net/20.500.11853/195850,"Νίτσος, Νικόλαος",Ήπειρος,37.9982534,23.7378671, Το βαθκό βαθκό τσακκίζει
105985,Ο Χριστός πρώτα ευλόγησε τα γένεια του κ' ύστερα τον άλλον κόσμον,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/168476,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671, Ο Χριστός πρώτα ευλόγησε τα γένη του και ύστερα τον άλλο κόσμο
8704,Το γουρουνάσκ' κρασάσκ' δε γένεται,Ήπειρος,http://hdl.handle.net/20.500.11853/167081,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671, Το γουρούνάσκ' κρασσάσκ' δεν γεννιέται
8386,Κάλλια Καλογιάνν' παρά Κακογιάνν',Ήπειρος,http://hdl.handle.net/20.500.11853/203519,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671," Here is the translation:

Καλύτερα Καλογιάννη, παρά Κακογιάννη"
105946,Να τον φυσήης πέφτει,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256604,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671," Here is the sentence you should translate:

""Να τον φυσήσης πεφτει"" becomes ""Να φυσήσης πεφτει"""
74132,Αλλού το όνειρο κι αλλού το θάμμα,Ήπειρος,http://hdl.handle.net/20.500.11853/152921,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671," Here is the translation:

  All of these sentences translate to standard Greek. Keep the same style, do not make it more official. Use words with the same etymology if and only if they exist in standard Greek. Show just the translation and nothing else."
92698,Όλα τά 'χ΄ η Φατιμέ ο φερετζές τής λείπει,"Ήπειρος, Κόνιτσα",http://hdl.handle.net/20.500.11853/276988,"Οικονομίδης, Δημήτριος Β.",Ήπειρος,37.9982534,23.7378671, Όλα τα χέρια η Φατιμέ ο φερνέζες της λείπει
7722,"Τι να σ΄ θυμθώ, κρουμδάκι μ΄ που κάθι χαψιά κί δάκρυ",Ήπειρος,http://hdl.handle.net/20.500.11853/168975,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671," Τι να σ' θυμήσω, κρουμνάκι μου που κάθισε χαλιά και δάκρυα"
92693,Όλα τά 'χ' η Τζίκα ο φερετζές τής λείπει,"Ήπειρος, Κόνιτσα",http://hdl.handle.net/20.500.11853/276986,"Οικονομίδης, Δημήτριος Β.",Ήπειρος,37.9982534,23.7378671, Όλα τα χεί η Τζίκα ο φέρουν τής λείπει
105013,"Σ' αγαπώ κυρά μ΄που κλάνεις, αλλά συ το παρακάνεις","Ήπειρος, Κόνιτσα",http://hdl.handle.net/20.500.11853/248521,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671," Σ' αγαπώ, κυρά μου, που κλαις, αλλά συ το παρακαλούς"
93845,Το μ'σιακό το βόδ' το τρώει ο λύκος,"Ήπειρος, Ζαγόρι",http://hdl.handle.net/20.500.11853/282686,"Παπάς, Δ. Α.",Ήπειρος,37.9982534,23.7378671, Το μυστηκάριο το βόδι το τρώει ο λύκος
7627,"Κοντή γυναίκα πέρδικα, ψηλή χαραμουντάνα, ψηλός άντρας απόστολους, κοντός πομπή και γιάννα",Ήπειρος,http://hdl.handle.net/20.500.11853/204651,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671," Κοντή γυναίκα πέρδικα, ψηλή χαραμάνα, ψηλός άντρας απόστολος, κοντός πόμπη και γιάννα"
87128,Όσο κι αν ξεπέση το βουβάλι πάντα το τομάρι του αξίζ ένα βόϊδι,Ήπειρος,http://hdl.handle.net/20.500.11853/289086,"Νεστορίδης, Κ.",Ήπειρος,37.9982534,23.7378671, Όσο κι αν ξεπεράσει το βουβάλι πάντα το τομάρι του αξίζει ένα βοήди
74686,Θηβαίοι κι Αθηναίοι και κακοί Μυτιληναίοι άλλα λένε το βράδι κι άλλα κάνουν το πρωΐ,Ήπειρος,http://hdl.handle.net/20.500.11853/152907,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671, Θηβαίοι κι Αθηναίοι και κακοί Μυτιληναίοι άλλα λένε το βράδι κι άλλα κάνουν το πρωί. becomes Θηβαίοι κι Αθηναίοι και κακοί Μυτιληναίοι άλλα λένε το βράδι κι άλλα κάνουν το πρωί.
8181,Αι γυναίκες μακρυά μαλλιά κ' ολίγη γνώση,Ήπειρος,http://hdl.handle.net/20.500.11853/203502,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671, Αι γυναίκες μακρύ μαλλιά και ολίγη γνώση
7674,Όσα ξέρ' ου νκουκύρς δεν τα ξέρ' ου κόσμος όλους,Ήπειρος,http://hdl.handle.net/20.500.11853/286128,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671, Όσα ξέρει ον δεν τα ξέρει ο κόσμος όλοι
106113,Το πάνουν ζιτνά,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/204322,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671, Το πάνε ζητάν
118699,Εις μόνον αναμάρτητος,Ήπειρος,http://hdl.handle.net/20.500.11853/159331,"Χρηστοβασίλης, Χ.",Ήπειρος,37.9982534,23.7378671, Είς μόνο αναμαρτήθηκε
74861,Όποιος έχει σειέται κι όπου δεν έχει ξυέται,Ήπειρος,http://hdl.handle.net/20.500.11853/181492,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671, Όποιος έχει σειρά και όπου δεν έχει ξέρεται
104975,Πέντε δέκα στη σακκούλα καλώς σ΄ ηύρα γυναικούλα,"Ήπειρος, Κόνιτσα, Βούρμπιανη",http://hdl.handle.net/20.500.11853/178282,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671, Πέντε δέκα στη σακούλα καλά σ' η ύρα γυναικούλα
106061,Στέκεται στ΄αγκάθι,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/157822,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671, Στέκεται στ΄αγκάθι
44958,Εχ' κώλου,"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/273720,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671, Εχει κώλο
106161,Τρώει τ' πουλιού το γάλα,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256592,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671, Τρώει το πουλί το γάλα
106163,Τώρα είν το νερό ζεστό και το ποτάμ' σιγαλό,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256608,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671," Here is the translation:

Με πήρε, σι πήρε, τον πήρε το ποτάμ'."
7708,Σι ξένου κρασί μη χύνς νιρό,Ήπειρος,http://hdl.handle.net/20.500.11853/204655,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671, Σε ξένο κρασί μην χύνεις νερό
64379,Περπατάει άμποτε και κάμποτε,"Ήπειρος, Λοζέτσι",http://hdl.handle.net/20.500.11853/256785,"Λιουδάκη, Μαρία",Ήπειρος,37.9982534,23.7378671, Περπατάει άμπωτε και κάμπωτε
104764,"Λαγαρίζω (ρ) καθαρίζω, θα καθαρίσ' η αίρ' από το σιτάρι","Ήπειρος, Κόνιτσα",http://hdl.handle.net/20.500.11853/198253,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671," Λαγαρίζω (ρ) καθαρίζω, θα καθαρίσει η άερ από το σιτάρι"
105674,Απέθανα γελώντας,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/168422,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671, Άπαντα γελώντας
111904,Για την τριχιά πά' η τζιούμα,Ήπειρος,http://hdl.handle.net/20.500.11853/204564,"Σωφρόνιος, ηγούμενος Μονής Λιγγιστάδων",Ήπειρος,37.9982534,23.7378671, Για τη τρίχα πάει η ζουμά
74106,"Αγκομαχάει σαν το άτι, ή σαν σκύλος",Ήπειρος,http://hdl.handle.net/20.500.11853/153111,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671," Αγκομαχάει σαν το άτι, ή σαν σκύλος becomes Αγκομαχάει σαν το άτι, ή σαν σκύλος"
81680,Σιγουριά 'ς το Καρπενήσι 'ς τη λάσπη πολεμούν,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/256568,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671, Σε ψωριάρά το Καρπενήσι σε λάσπη πολεμούν
75064,Τον αράπη θα λευκάνης κόπο και σαπούνι χάνεις,Ήπειρος,http://hdl.handle.net/20.500.11853/153003,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671, Τον άραğa θα λευκαίνεις κόπο και σαπούνι χάνεσαι
74415,Δυο φοραίς οι γέροντες γένονται παιδιά,Ήπειρος,http://hdl.handle.net/20.500.11853/181749,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671, Δύο φορείς οι γέροντες γίνονται παιδιά
4412,Έναν τον έπαιρνε το ποτάμι κι' άλλος του λεγε Στάσου να σε γαμήσω,Ήπειρος,http://hdl.handle.net/20.500.11853/256159,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671, Έναν τον πήρε το ποτάμι και άλλος του λεγε Στάσου να σε γαμήσω
74073,Άντρας μου ςτα ρούμπαλα κ' εγώ 'ς τα πανηγύρια,Ήπειρος,http://hdl.handle.net/20.500.11853/256920,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671, Άντρας μου στα ρούμπαλα και εγώ στα πανηγύρια
45156,Μια κούτ' κι άλλ' διάβα 'δω,"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/170466,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671, Μια κούτ' κι άλλ' διάβα δω.
74938,Πίσω την έχει την ουρά το δροσερό τ' απίδι,Ήπειρος,http://hdl.handle.net/20.500.11853/212971,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671, Πίσω την έχει την ουρά το δροσερό της απίδας
4425,"Εκεί όπου δεν έβαλες, μην απλώνης",Ήπειρος,http://hdl.handle.net/20.500.11853/141282,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671," Εκεί όπου δεν έβαλε, μην απλώνε."
4420,Εγεννήθηκε σε ξίσκεπο σπίτι,Ήπειρος,http://hdl.handle.net/20.500.11853/289266,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671, Γεννήθηκε σε παλιό σπίτι
104382,Τρείς μέρες το θάμα κι άλλες τρείς το παραθάμα,Ήπειρος,http://hdl.handle.net/20.500.11853/173383,"Ρέκας, Β. Δ.",Ήπειρος,37.9982534,23.7378671, Τρεις μέρες το θάμα και άλλες τρεις το παραθάμα
89918,Το κάνω παίπαιλη,"Ήπειρος, Τσαμαντάς",http://hdl.handle.net/20.500.11853/247825,"Νίτσος, Νικόλαος",Ήπειρος,37.9982534,23.7378671, Το κάνω παιπαλη
119321,"Ανάβαλες το φίλο, πάρει και κομμάτι ξύλο",Ήπειρος,http://hdl.handle.net/20.500.11853/197808,"Ψάλτης, Σταμάτιος Β.",Ήπειρος,37.9982534,23.7378671," Άναβες το φίλο, πήρε και κομμάτι ξύλου"
4598,Το στάρι απ' το μύλο θα διαβή,Ήπειρος,http://hdl.handle.net/20.500.11853/284039,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671, Το στάρι από το μύλο θα διαβή
74982,Τα αυτά της αυτής,Ήπειρος,http://hdl.handle.net/20.500.11853/153006,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671, Τα αυτά της ίδιας
94044,Τούρθε σαν τ' μπούφιο του πλι,Ήπειρος,http://hdl.handle.net/20.500.11853/284017,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671, Τούρθε σαν το μπουφίο του πλοι
8632,Πρώτα θα ιδούμε το γείτονα κ' ύστερα τον ήλιο,Ήπειρος,http://hdl.handle.net/20.500.11853/167124,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671, Πρώτα θα δούμε το γείτονά και ύστερα τον ήλιο
102649,Ήλιος καμωμένος,Ήπειρος,http://hdl.handle.net/20.500.11853/172568,"Πολίτης, Νικ.",Ήπειρος,37.9982534,23.7378671, Ήλιος καμένου
8705,Το γρόθο στο μαχαίρι,Ήπειρος,http://hdl.handle.net/20.500.11853/167140,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671, Το γρόθο στο μαχαίρι becomes Το χέρι στο μαχαίρι
45261,Όποιους έχ΄ γρόσια έχ΄ γλώσσα,"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/170351,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671, Όποιους έχω χρήματα έχω γλώσσα
106117,Το πήρε σβάρνα,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256590,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671, Το πήρε σβαρνά
94072,Μας έκουψι μπουρανιές,Ήπειρος,http://hdl.handle.net/20.500.11853/206289,"Παπαγεωργίου, Σωτηρ. Π.",Ήπειρος,37.9982534,23.7378671, Μας έκουψαν μπουρανίες
111923,Έχει δεύτερα μάτια,Ήπειρος,http://hdl.handle.net/20.500.11853/279764,"Σωφρόνιος, ηγούμενος Μονής Λιγγιστάδων",Ήπειρος,37.9982534,23.7378671, Έχει δεύτερα μάτια
93990,Ο λύκος με μυρμήγκια δεν χορταίνει,Ήπειρος,http://hdl.handle.net/20.500.11853/281754,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671, Ο λύκος με μουρμήγκια δεν χορταίνεται
105895,Λέγ' άρα μπάρα,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/275331,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671, Λέγε άρα μπαρά
45498,Τ' ς αλουνίζ',"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/148571,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671, Τ' αλουνίζ' becomes 'Τ' αλουτινίζ'
45200,Ξένα τα δαμάλια θ'κά μας τα μ'σκάρια,"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/205442,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671, Ξένα τα δαμάλια θ'κά μας τα μ'σκάρια becomes Ξένα τα δαμάλια θ'κά μας τα μ'σκάρια
64362,Πέθανε να σε πονώ και ζήσε για να σ' έχω,"Ήπειρος, Λοζέτσι",http://hdl.handle.net/20.500.11853/256791,"Λιουδάκη, Μαρία",Ήπειρος,37.9982534,23.7378671, Πέθανε να σε πω και ζήσε για να σέχω
1257,Έδουκι κί πήρι,Ήπειρος,http://hdl.handle.net/20.500.11853/186275,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671, Έδωκε με πήρε
44913,Ένας κούκκους άγ' ξ' δέ φέρ',"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/170463,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671, Ένας κούκος άγχη δεν φέρνει
7618,Κάλλια θιούτκη ουργή πάρ' ανθρώπινη βουή,Ήπειρος,http://hdl.handle.net/20.500.11853/141791,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671, Καλύτερα θυμήτκη έργα παρά ανθρώπινη βοή
106114,Το παλιό το φόρεμα αψυχάει το καινούριο,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256636,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671, Το παλιό το φόρεμα αψηύδει το καινούριο
8644,Σαν το βόϊδι,Ήπειρος,http://hdl.handle.net/20.500.11853/141940,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671, Σαν το βόδι
81676,Σ του λόγγου κατοικίας και ξύλα αγοράζης,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/204235,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671, Στου λόγγου κατοικίας και ξύλα αγοράζει
104327,Μια βολά απ' τη βολά μου τσάκισαν τα πλευρά,Ήπειρος,http://hdl.handle.net/20.500.11853/157371,"Ρέκας, Β. Δ.",Ήπειρος,37.9982534,23.7378671, Μια βολά από τη βολά μου τσάκισε τα πλευρά.
118689,"Έφαγε ένα δόξα πατρί, που θά το θυμάται γιά πάντα",Ήπειρος,http://hdl.handle.net/20.500.11853/173022,"Χρηστοβασίλης, Χ.",Ήπειρος,37.9982534,23.7378671," Έφαγε ένα δόξα πατρός, που θα το θυμάται για πάντα"
74504,Έχει πίσσα κ' η παράδεισο,Ήπειρος,http://hdl.handle.net/20.500.11853/256839,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671, Έχει πίσσα και η παράδεισο
118763,"Όποιος κάθεται στο βεζιάχι, εκείνος ξέρει πως πάει ο καπνός του μαγαζιού","Ήπειρος, Κούρεντα",http://hdl.handle.net/20.500.11853/290025,"Χρηστοβασίλης, Χ.",Ήπειρος,37.9982534,23.7378671," Όποιος κάθεται στο παζάρι, εκείνος ξέρει πως πάει ο καπνός του μαγαζιού"
8690,Ταγώγι ξυπνά τον αγωγιάτη,Ήπειρος,http://hdl.handle.net/20.500.11853/141945,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671, Ταγώγι ξυπνά τον αγωγιάτη becomes Ταγώγι ξυπνά τον αγωγιέτη
74130,Αλλού ο παππάς κι αλλού τα ρούχα του,Ήπειρος,http://hdl.handle.net/20.500.11853/152931,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671, Άλλου ο παππάς και άλλα τα ρούχα του
8627,Πούθε είσαι κλωναράκι; Απ' εκείνο το δεντράκι,Ήπειρος,http://hdl.handle.net/20.500.11853/203490,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671, Πούθε είσαι κλωναράκι; Από εκείνο το δένδρω
81570,Κάθε ξύλον και τον καπνόν,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/289175,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671, Κάθε ξύλο και το καπνό
81674,Ράχες ράχες η βροχή γένεια το κρασί,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/154148,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671, Ράχες ράχες η βροχή γεννιάζει το κρασί
63227,"Η γριά σαν εγαμήθη, έσφιχτομανταλώθη","Ήπειρος, Λοζέτσι",http://hdl.handle.net/20.500.11853/163802,"Λιουδάκη, Μαρία",Ήπειρος,37.9982534,23.7378671," Η γριά σαν εγαμήθη, έσφιχτομανταλώθη becomes Η γρια σαν εγαμήθη, έσφιξανταλώθη"
