,text,place,uri,collector,area,lat,lon,llama-8b
81669,Πέντε γρόσια ΄ς το πουγγί,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/168360,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671,Five grosia in a pigsty. (i.e. a small amount of
105986,Όλα διορθώνονται μονάχα του σπανού τα γένια,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/168490,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,All are corrected only by the beard of the goat<|eot_id|
75080,Τον καταφέρνω,Ήπειρος,http://hdl.handle.net/20.500.11853/212979,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,I manage to do it<|eot_id|>
4435,Η κόττα γαργανίζοντας τα μάτια της θα βγάλη,Ήπειρος,http://hdl.handle.net/20.500.11853/271834,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671,The cat purring with its eyes closed will catch the mouse. <|e
45119,Μ'κρος πιρδάρ - μιγάλους γουμάρ',"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/281862,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671,A little thief - a lot of shame.
94019,Σαν να τον λάβωσ' ο λύκος,Ήπειρος,http://hdl.handle.net/20.500.11853/204751,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671,If the wolf were to take him<|eot_id|>
8549,"Όποιος μ' θέλει το καλό, με κάν' και κλαίω, κι όποιος μ' θέλ' το κακό με κάν' και γελώ",Ήπειρος,http://hdl.handle.net/20.500.11853/203521,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,"If someone wants me good, they make me cry, and if someone wants me"
74963,Σαν εκκλησιά 'ς την ερημιά που δεν την λειτουργούνε έστε είν' αυτός οπ' αγαπά και δεν τον αγαπούνε,Ήπειρος,http://hdl.handle.net/20.500.11853/152985,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,"Like a church in the desert that is not being used, he loves but is"
105833,Ή χήνα ή σκατίνα,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/168391,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Either a hen or a cat<|eot_id|>
74756,"Με παίρνει ξωπίσω, με κυνηγάει, με παρακολουθεί",Ήπειρος,http://hdl.handle.net/20.500.11853/290369,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,"He takes me by the back, he chases me, he watches me<"
104678,Ισιοζύγιαζε κι ακριβοπούλα,"Ήπειρος, Κόνιτσα, Βούρμπιανη",http://hdl.handle.net/20.500.11853/178257,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671,He was a miser and a penny-pincher. (The penny-pincher is
1369,"Όσον ξιτξγκαξίς τα σκατά, τόσον περισσότερον βρουμούν","Ήπειρος, Ζαγόρι",http://hdl.handle.net/20.500.11853/228131,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671,"As much as you throw the dirt, the more mud you'll get<|"
8484,Ξένο βιο καλολογάριασ' το,Ήπειρος,http://hdl.handle.net/20.500.11853/203472,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,A foreign life is a good life.  (It is better to live a
111997,"Οι ζωντανοί με τους ζωντανούς, κ' οι πεθαμένοι με τους πεθαμένους",Ήπειρος,http://hdl.handle.net/20.500.11853/256064,"Σωφρόνιος, ηγούμενος Μονής Λιγγιστάδων",Ήπειρος,37.9982534,23.7378671,"The living with the living, and the dead with the dead. (English translation"
94031,Της Κυριακής το όνειρο ως το γιόμα στρέει,Ήπειρος,http://hdl.handle.net/20.500.11853/204756,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671,Sunday's dream is as long as Monday's work<|eot_id|
106168,Φκειάνομε καλυβάκια,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/204323,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,A cloud is not a blanket. (A cloud is not a blanket to keep
74249,Απόστολος παρήγορος χασάπικης ειρήνης,Ήπειρος,http://hdl.handle.net/20.500.11853/181673,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,A distant relative brings a message of peace. (Proverb)<|eot
4616,Τούρθε σαν της κουκουβάγιας το πουλί,Ήπειρος,http://hdl.handle.net/20.500.11853/271841,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671,"The bird is like the owl's bird. (lit. ""Turns like"
81624,Ξύλα κούτσουρα δαυλιά καϋμένα,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/289177,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671,Dry wood is afraid of fire. (meaning that a timid person is afraid of
74380,Δεν αξίζει ο κόπος,Ήπειρος,http://hdl.handle.net/20.500.11853/213007,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,It's not worth the trouble.
89912,Το αβκόν αβκόν τσακκίζει,"Ήπειρος, Τσαμαντάς",http://hdl.handle.net/20.500.11853/195850,"Νίτσος, Νικόλαος",Ήπειρος,37.9982534,23.7378671,The wind blows wind and shakes. (A common expression that means that the strong
105985,Ο Χριστός πρώτα ευλόγησε τα γένεια του κ' ύστερα τον άλλον κόσμον,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/168476,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Christ first blessed his family and then the rest of the world. (Bless
8704,Το γουρουνάσκ' κρασάσκ' δε γένεται,Ήπειρος,http://hdl.handle.net/20.500.11853/167081,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,"The dog barks, the pomegranate tree does not grow. ("
8386,Κάλλια Καλογιάνν' παρά Κακογιάνν',Ήπειρος,http://hdl.handle.net/20.500.11853/203519,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,A bad neighbour is better than a good relative.
105946,Να τον φυσήης πέφτει,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256604,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Let him fall as he blows<|eot_id|>
74132,Αλλού το όνειρο κι αλλού το θάμμα,Ήπειρος,http://hdl.handle.net/20.500.11853/152921,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Somewhere else the dream and somewhere else the nightmare.
92698,Όλα τά 'χ΄ η Φατιμέ ο φερετζές τής λείπει,"Ήπειρος, Κόνιτσα",http://hdl.handle.net/20.500.11853/276988,"Οικονομίδης, Δημήτριος Β.",Ήπειρος,37.9982534,23.7378671,All the eggs are in one basket. The hen is missing. (The hen
7722,"Τι να σ΄ θυμθώ, κρουμδάκι μ΄ που κάθι χαψιά κί δάκρυ",Ήπειρος,http://hdl.handle.net/20.500.11853/168975,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671,"What can I do to you, little thorn, since you have pierced my"
92693,Όλα τά 'χ' η Τζίκα ο φερετζές τής λείπει,"Ήπειρος, Κόνιτσα",http://hdl.handle.net/20.500.11853/276986,"Οικονομίδης, Δημήτριος Β.",Ήπειρος,37.9982534,23.7378671,"All the ""X""s are missing from Jika the beggar's sign."
105013,"Σ' αγαπώ κυρά μ΄που κλάνεις, αλλά συ το παρακάνεις","Ήπειρος, Κόνιτσα",http://hdl.handle.net/20.500.11853/248521,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671,"I love you, mother, when you scold me, but you're being"
93845,Το μ'σιακό το βόδ' το τρώει ο λύκος,"Ήπειρος, Ζαγόρι",http://hdl.handle.net/20.500.11853/282686,"Παπάς, Δ. Α.",Ήπειρος,37.9982534,23.7378671,The wolf eats the fat of the land. (English proverb)  The phrase
7627,"Κοντή γυναίκα πέρδικα, ψηλή χαραμουντάνα, ψηλός άντρας απόστολους, κοντός πομπή και γιάννα",Ήπειρος,http://hdl.handle.net/20.500.11853/204651,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671,"A short woman is a magpie, a tall woman is a charmer,"
87128,Όσο κι αν ξεπέση το βουβάλι πάντα το τομάρι του αξίζ ένα βόϊδι,Ήπειρος,http://hdl.handle.net/20.500.11853/289086,"Νεστορίδης, Κ.",Ήπειρος,37.9982534,23.7378671,"Even if the buffalo gets wet, its hide is worth a cow. (A"
74686,Θηβαίοι κι Αθηναίοι και κακοί Μυτιληναίοι άλλα λένε το βράδι κι άλλα κάνουν το πρωΐ,Ήπειρος,http://hdl.handle.net/20.500.11853/152907,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,"The translation to English is:

""Thibians and Athenians, and bad"
8181,Αι γυναίκες μακρυά μαλλιά κ' ολίγη γνώση,Ήπειρος,http://hdl.handle.net/20.500.11853/203502,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,Women with long hair and little knowledge. (A proverb that means that a woman
7674,Όσα ξέρ' ου νκουκύρς δεν τα ξέρ' ου κόσμος όλους,Ήπειρος,http://hdl.handle.net/20.500.11853/286128,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671,"What the village doesn't know, the world doesn't know either.  or"
106113,Το πάνουν ζιτνά,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/204322,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,They are going to eat zitna (a type of bean). Meaning:
118699,Εις μόνον αναμάρτητος,Ήπειρος,http://hdl.handle.net/20.500.11853/159331,"Χρηστοβασίλης, Χ.",Ήπειρος,37.9982534,23.7378671,Only the blameless<|eot_id|> is free from blame.
74861,Όποιος έχει σειέται κι όπου δεν έχει ξυέται,Ήπειρος,http://hdl.handle.net/20.500.11853/181492,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Whoever has a willow and where he does not have an oak. (
104975,Πέντε δέκα στη σακκούλα καλώς σ΄ ηύρα γυναικούλα,"Ήπειρος, Κόνιτσα, Βούρμπιανη",http://hdl.handle.net/20.500.11853/178282,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671,"Five ten in a sack, good to find a female. (A man is"
106061,Στέκεται στ΄αγκάθι,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/157822,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,He stands on thorns<|eot_id|>
44958,Εχ' κώλου,"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/273720,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671,"A crooked back.  (Literally: ""With a crooked back"
106161,Τρώει τ' πουλιού το γάλα,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256592,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,The bird eats the goat's milk. (or The bird eats the goat's
106163,Τώρα είν το νερό ζεστό και το ποτάμ' σιγαλό,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256608,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Now the water is hot and the river is silent. (It is now the
7708,Σι ξένου κρασί μη χύνς νιρό,Ήπειρος,http://hdl.handle.net/20.500.11853/204655,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671,Don't pour vinegar on foreign wine. (Don't spoil a good thing by
64379,Περπατάει άμποτε και κάμποτε,"Ήπειρος, Λοζέτσι",http://hdl.handle.net/20.500.11853/256785,"Λιουδάκη, Μαρία",Ήπειρος,37.9982534,23.7378671,"He walks both ways, he walks neither way. (It means that someone is"
104764,"Λαγαρίζω (ρ) καθαρίζω, θα καθαρίσ' η αίρ' από το σιτάρι","Ήπειρος, Κόνιτσα",http://hdl.handle.net/20.500.11853/198253,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671,"I fear (for) I clean, it will be cleansed from wheat<"
105674,Απέθανα γελώντας,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/168422,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Laughing to death. (It means to die laughing) or To laugh one
111904,Για την τριχιά πά' η τζιούμα,Ήπειρος,http://hdl.handle.net/20.500.11853/204564,"Σωφρόνιος, ηγούμενος Μονής Λιγγιστάδων",Ήπειρος,37.9982534,23.7378671,"For the hair, go to the barber. (A hairdo is worth going"
74106,"Αγκομαχάει σαν το άτι, ή σαν σκύλος",Ήπειρος,http://hdl.handle.net/20.500.11853/153111,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,"He works like a lazy man, or like a dog. (The lazy man"
81680,Σιγουριά 'ς το Καρπενήσι 'ς τη λάσπη πολεμούν,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/256568,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671,"In Karpenisi, they fight in the mud with certainty. (Translation of"
75064,Τον αράπη θα λευκάνης κόπο και σαπούνι χάνεις,Ήπειρος,http://hdl.handle.net/20.500.11853/153003,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,You throw soap and effort to make a mouse white. (The translation is a
74415,Δυο φοραίς οι γέροντες γένονται παιδιά,Ήπειρος,http://hdl.handle.net/20.500.11853/181749,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Two times the old men become children. (It is better to be late than
4412,Έναν τον έπαιρνε το ποτάμι κι' άλλος του λεγε Στάσου να σε γαμήσω,Ήπειρος,http://hdl.handle.net/20.500.11853/256159,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671,"One was taken by the river and another was saying, ""Stay so I can"
74073,Άντρας μου ςτα ρούμπαλα κ' εγώ 'ς τα πανηγύρια,Ήπειρος,http://hdl.handle.net/20.500.11853/256920,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,My husband is at the taverns and I am at the festivals. (Mean
45156,Μια κούτ' κι άλλ' διάβα 'δω,"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/170466,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671,A little bit here and a little bit there<|eot_id|>
74938,Πίσω την έχει την ουρά το δροσερό τ' απίδι,Ήπειρος,http://hdl.handle.net/20.500.11853/212971,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Behind the cool wind has its tail. (meaning: the wind is chasing its
4425,"Εκεί όπου δεν έβαλες, μην απλώνης",Ήπειρος,http://hdl.handle.net/20.500.11853/141282,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671,"Where you didn't put, don't spread. (Don't make a mess"
4420,Εγεννήθηκε σε ξίσκεπο σπίτι,Ήπειρος,http://hdl.handle.net/20.500.11853/289266,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671,A stranger's house is a stranger's law. (A stranger's house is
104382,Τρείς μέρες το θάμα κι άλλες τρείς το παραθάμα,Ήπειρος,http://hdl.handle.net/20.500.11853/173383,"Ρέκας, Β. Δ.",Ήπειρος,37.9982534,23.7378671,Three days for the surprise and another three for the after-surprise. (English
89918,Το κάνω παίπαιλη,"Ήπειρος, Τσαμαντάς",http://hdl.handle.net/20.500.11853/247825,"Νίτσος, Νικόλαος",Ήπειρος,37.9982534,23.7378671,I'm playing with it. (meaning: to play with something in a careless
119321,"Ανάβαλες το φίλο, πάρει και κομμάτι ξύλο",Ήπειρος,http://hdl.handle.net/20.500.11853/197808,"Ψάλτης, Σταμάτιος Β.",Ήπειρος,37.9982534,23.7378671,"If you take back a friend, he will take a piece of wood too."
4598,Το στάρι απ' το μύλο θα διαβή,Ήπειρος,http://hdl.handle.net/20.500.11853/284039,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671,The wheat from the mill will pass. (Meaning: Even the most difficult
74982,Τα αυτά της αυτής,Ήπειρος,http://hdl.handle.net/20.500.11853/153006,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Those of the same kind. (Things that are alike are treated alike) or
94044,Τούρθε σαν τ' μπούφιο του πλι,Ήπειρος,http://hdl.handle.net/20.500.11853/284017,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671,<|eot_id|>It gets worse like a buffalo's pelt
8632,Πρώτα θα ιδούμε το γείτονα κ' ύστερα τον ήλιο,Ήπειρος,http://hdl.handle.net/20.500.11853/167124,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,"First we see our neighbor, and then the sun. (English translation of the"
102649,Ήλιος καμωμένος,Ήπειρος,http://hdl.handle.net/20.500.11853/172568,"Πολίτης, Νικ.",Ήπειρος,37.9982534,23.7378671,A sun that's been painted. (meaning that someone is pretending to be something
8705,Το γρόθο στο μαχαίρι,Ήπειρος,http://hdl.handle.net/20.500.11853/167140,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,The nail in the sword. (It means that if someone has a problem with
45261,Όποιους έχ΄ γρόσια έχ΄ γλώσσα,"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/170351,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671,Whoever has money has a tongue. (meaning that those who have money have
106117,Το πήρε σβάρνα,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256590,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,He took a beating<|eot_id|>
94072,Μας έκουψι μπουρανιές,Ήπειρος,http://hdl.handle.net/20.500.11853/206289,"Παπαγεωργίου, Σωτηρ. Π.",Ήπειρος,37.9982534,23.7378671,We are waiting for the wind to blow<|eot_id|>
111923,Έχει δεύτερα μάτια,Ήπειρος,http://hdl.handle.net/20.500.11853/279764,"Σωφρόνιος, ηγούμενος Μονής Λιγγιστάδων",Ήπειρος,37.9982534,23.7378671,Has second eyes<|eot_id|>
93990,Ο λύκος με μυρμήγκια δεν χορταίνει,Ήπειρος,http://hdl.handle.net/20.500.11853/281754,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671,The wolf with ants never has enough. (The wolf will never have enough if
105895,Λέγ' άρα μπάρα,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/275331,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,It's all the same<|eot_id|>
45498,Τ' ς αλουνίζ',"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/148571,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671,To change the wind. (to change the circumstances) <|eot_id
45200,Ξένα τα δαμάλια θ'κά μας τα μ'σκάρια,"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/205442,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671,Foreign things are the ones that spoil our own.  or Foreign things are the
64362,Πέθανε να σε πονώ και ζήσε για να σ' έχω,"Ήπειρος, Λοζέτσι",http://hdl.handle.net/20.500.11853/256791,"Λιουδάκη, Μαρία",Ήπειρος,37.9982534,23.7378671,He died to hurt you and lived to have you<|eot_id|
1257,Έδουκι κί πήρι,Ήπειρος,http://hdl.handle.net/20.500.11853/186275,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671,I gave and I received. (In return for a favor) <|e
44913,Ένας κούκκους άγ' ξ' δέ φέρ',"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/170463,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671,One crow does not make it spring.  (One crow does not make it
7618,Κάλλια θιούτκη ουργή πάρ' ανθρώπινη βουή,Ήπειρος,http://hdl.handle.net/20.500.11853/141791,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671,A rough exterior may hide a human soul.
106114,Το παλιό το φόρεμα αψυχάει το καινούριο,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256636,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,The old clothes make the new ones uncomfortable.  (Idiomatic expression)
8644,Σαν το βόϊδι,Ήπειρος,http://hdl.handle.net/20.500.11853/141940,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,Like a cow<|eot_id|>
81676,Σ του λόγγου κατοικίας και ξύλα αγοράζης,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/204235,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671,A stranger's house is a stranger's store. (A house is a store
104327,Μια βολά απ' τη βολά μου τσάκισαν τα πλευρά,Ήπειρος,http://hdl.handle.net/20.500.11853/157371,"Ρέκας, Β. Δ.",Ήπειρος,37.9982534,23.7378671,One arrow from my own bow hit the ribs. (A proverb meaning that the
118689,"Έφαγε ένα δόξα πατρί, που θά το θυμάται γιά πάντα",Ήπειρος,http://hdl.handle.net/20.500.11853/173022,"Χρηστοβασίλης, Χ.",Ήπειρος,37.9982534,23.7378671,"He ate a father's glory, that he will remember for ever. (A"
74504,Έχει πίσσα κ' η παράδεισο,Ήπειρος,http://hdl.handle.net/20.500.11853/256839,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Heaven and earth. (A Greek proverb which means that everything is possible)
118763,"Όποιος κάθεται στο βεζιάχι, εκείνος ξέρει πως πάει ο καπνός του μαγαζιού","Ήπειρος, Κούρεντα",http://hdl.handle.net/20.500.11853/290025,"Χρηστοβασίλης, Χ.",Ήπειρος,37.9982534,23.7378671,"He who sits on the bezekhi, knows where the smoke of the shop"
8690,Ταγώγι ξυπνά τον αγωγιάτη,Ήπειρος,http://hdl.handle.net/20.500.11853/141945,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,The dog wakens the butcher. (The dog is the one that wakes the
74130,Αλλού ο παππάς κι αλλού τα ρούχα του,Ήπειρος,http://hdl.handle.net/20.500.11853/152931,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,In another place the priest and his clothes<|eot_id|>
8627,Πούθε είσαι κλωναράκι; Απ' εκείνο το δεντράκι,Ήπειρος,http://hdl.handle.net/20.500.11853/203490,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,"Wherever you are, a thread (of rope) is from that tree."
81570,Κάθε ξύλον και τον καπνόν,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/289175,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671,Every stick and the smoke<|eot_id|> translates to English as
81674,Ράχες ράχες η βροχή γένεια το κρασί,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/154148,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671,Rain follows rain and wine follows oil. (This proverb is used to indicate that
63227,"Η γριά σαν εγαμήθη, έσφιχτομανταλώθη","Ήπειρος, Λοζέτσι",http://hdl.handle.net/20.500.11853/163802,"Λιουδάκη, Μαρία",Ήπειρος,37.9982534,23.7378671,"When the old woman got married, she got a tight-fisted husband. ("
74514,Εβγήκαν ή σκασμέναις σαν ακρίδες,Ήπειρος,http://hdl.handle.net/20.500.11853/153142,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,They came out as locusts<|eot_id|>
74609,Ερωτοίν την Φατιμέ πότε πιάνουν μπαϊράμι,Ήπειρος,http://hdl.handle.net/20.500.11853/256833,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,When will they catch the fatima with kisses? (The phrase is a proverb
1450,Τα ήθελες κι τα ήθελα,"Ήπειρος, Ζαγόρι",http://hdl.handle.net/20.500.11853/228055,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671,You wanted them and I wanted them too<|eot_id|>
7659,Όντας (όταν) γηράζ' συ λύκους μασκαράς τουν σικλιών γίνιτι,Ήπειρος,http://hdl.handle.net/20.500.11853/169001,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671,"When you are old, the wolves will come disguised as sheep. (Greek Pro"
8724,Τον ακάλεστο τον βαν' στον πάτο,Ήπειρος,http://hdl.handle.net/20.500.11853/142020,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,"The one who is not called, is at the bottom. (The one who"
75114,Τρώει τα λόγια του,Ήπειρος,http://hdl.handle.net/20.500.11853/212988,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Eats its own words. (Literal translation: Eats the words of it
